CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn,AverageMonthlyCharges,CustomerLifetimeValue
1502,24.0,Male,Two year,34.50894466391382,517.6341699587074,No,No,15,Yes,Electronic check,No,34.508921657966056,517.6338248694908
2587,54.0,Female,Month-to-month,72.50638701906956,1305.114966343252,Yes,No,18,No,Electronic check,Yes,72.50634673776581,1305.1142412797847
2654,76.0,Female,Month-to-month,58.955313562609525,3183.5869323809143,No,Fiber optic,54,Yes,Mailed check,No,58.95530264496088,3183.5863428278876
1056,57.0,Female,Month-to-month,73.54583089593413,2647.649912253629,No,Fiber optic,36,No,Electronic check,Yes,73.54581046654233,2647.649176795524
706,23.0,Male,Two year,76.69458574796546,4218.2022161381,Yes,DSL,55,Yes,Credit card,Yes,76.69457180349785,4218.201449192382
107,76.0,Female,One year,61.9074683125441,2166.7613909390434,Yes,DSL,35,Yes,Bank transfer,No,61.907450624701056,2166.7607718645368
590,66.0,Female,One year,52.9077416890032,3174.4645013401923,No,DSL,60,No,Mailed check,No,52.90773287104773,3174.4639722628635
2469,58.0,Female,Month-to-month,84.9526128749369,84.9526128749369,Yes,DSL,1,No,Electronic check,No,84.95176335730332,84.95176335730332
2414,70.0,Female,Two year,61.51445038682877,1353.3179085102329,No,DSL,22,Yes,Electronic check,No,61.514422425727666,1353.3172933660087
1601,42.0,Male,Month-to-month,60.735481162944986,850.2967362812298,No,Fiber optic,14,No,Bank transfer,No,60.73543778048943,850.296128926852
2465,25.0,Female,Two year,47.51740269025832,2090.7657183713663,No,Fiber optic,44,No,Bank transfer,No,47.51739189085107,2090.765243197447
229,20.0,Male,Two year,94.15172523269902,564.9103513961941,No,Fiber optic,6,No,Electronic check,No,94.1515683134185,564.909409880511
916,31.0,Male,One year,69.03580351651874,2002.0383019790434,No,Fiber optic,29,Yes,Mailed check,Yes,69.03577971107745,2002.037611621246
795,54.0,Male,Month-to-month,30.67138599937687,2300.3539499532653,No,Fiber optic,25,No,Mailed check,No,92.01412119248214,2300.3530298120536
3022,60.0,Female,Two year,63.39566256899333,2662.61782789772,No,Fiber optic,42,Yes,Mailed check,No,63.395647474791545,2662.6171939412448
3544,62.0,Male,Month-to-month,81.5502853382499,407.75142669124955,No,No,5,No,Electronic check,Yes,81.55012223800544,407.7506111900272
1074,61.0,Male,One year,20.808467653001088,1269.3165268330663,No,Fiber optic,61,Yes,Mailed check,No,20.80846424177744,1269.3163187484238
3352,72.0,Female,Month-to-month,106.51493347713713,6710.44080905964,No,DSL,63,No,Bank transfer,No,106.51491657000751,6710.439743910473
1745,33.0,Male,Month-to-month,35.45640066498828,2233.7532418942615,No,DSL,63,Yes,Electronic check,No,35.456395036989065,2233.7528873303113
1085,79.0,Male,Month-to-month,25.690148049762158,51.380296099524315,Yes,No,2,No,Electronic check,No,25.690019599664158,51.380039199328316
927,79.0,Female,Month-to-month,45.25610712695254,2941.646963251915,No,Fiber optic,65,No,Electronic check,No,45.25610016447559,2941.6465106909136
3050,58.0,Male,Month-to-month,55.127837245114165,661.53404694137,No,Fiber optic,12,Yes,Electronic check,No,55.12779130528808,661.533495663457
1118,48.0,Male,Month-to-month,54.6500887365745,3224.3552354578956,No,DSL,59,Yes,Electronic check,No,54.65007947384916,3224.3546889571003
643,71.0,Male,One year,108.87464047516418,3483.988495205254,Yes,No,32,No,Bank transfer,Yes,108.87460645184966,3483.987406459189
4768,51.0,Male,Two year,111.92542465263115,7610.928876378918,No,DSL,68,Yes,Bank transfer,No,111.92540819301229,7610.927757124836
502,54.0,Female,Two year,50.436778342955094,2874.8963655484404,No,Fiber optic,57,Yes,Electronic check,No,50.43676949439904,2874.895861180745
4067,48.0,Male,Month-to-month,43.361959847804435,43.361959847804435,No,Fiber optic,1,No,Mailed check,Yes,43.361526232542104,43.361526232542104
334,76.0,Female,Month-to-month,89.60347322291322,5286.60492015188,Yes,DSL,59,Yes,Mailed check,No,89.60345803588643,5286.6040241173
4685,77.0,Female,One year,110.57951677346345,3649.124053524294,No,DSL,33,Yes,Bank transfer,No,110.57948326452913,3649.1229477294614
487,61.0,Male,Month-to-month,111.12354154476931,7223.030200410005,No,Fiber optic,65,No,Electronic check,No,111.12352444884246,7223.02908917476
1963,63.0,Female,Month-to-month,94.05189396178675,4608.542804127551,No,Fiber optic,49,Yes,Electronic check,Yes,94.05187476752658,4608.5418636088025
394,80.0,Male,Month-to-month,102.66418037134827,6057.186641909548,No,DSL,59,No,Mailed check,Yes,102.66416297064268,6057.185615267918
4843,54.0,Female,One year,54.65410697635244,382.5787488344671,No,Fiber optic,7,Yes,Electronic check,Yes,54.6540288991683,382.57820229417814
4867,79.0,Female,Month-to-month,99.64356443506597,2590.732675311715,Yes,Fiber optic,26,No,Electronic check,No,99.64352611063285,2590.731678876454
1756,65.0,Female,Month-to-month,115.87546162149036,1158.7546162149035,No,DSL,10,Yes,Credit card,No,115.87534574614462,1158.7534574614463
2516,74.0,Male,Month-to-month,28.525822463686062,1369.2394782569309,Yes,Fiber optic,48,No,Mailed check,No,28.525816520807616,1369.2391929987657
3586,35.0,Female,Month-to-month,41.34845836986351,2067.4229184931755,No,DSL,50,No,Mailed check,Yes,41.34845010017349,2067.4225050086743
4316,23.0,Male,One year,102.48017914341673,3586.8062700195856,No,Fiber optic,35,No,Electronic check,No,102.4801498633739,3586.8052452180864
4967,47.0,Female,Month-to-month,105.66062798313689,2430.1944436121485,Yes,DSL,23,Yes,Electronic check,No,105.6605820437534,2430.193387006328
2100,57.0,Male,Month-to-month,42.95873088925163,1933.1428900163235,No,DSL,45,No,Bank transfer,No,42.95872134286911,1933.14246042911
3600,44.0,Male,Month-to-month,112.53867143253424,4951.701543031507,No,DSL,44,Yes,Mailed check,Yes,112.53864585556927,4951.700417645048
4122,80.0,Male,Two year,73.37763937350377,1907.818623711098,Yes,No,26,Yes,Electronic check,No,73.37761115134563,1907.8178899349864
30,40.0,Female,Two year,101.0469617069593,5355.488970468843,No,Fiber optic,53,No,Mailed check,No,101.04694264149842,5355.4879599994165
66,28.0,Male,Month-to-month,118.58068210084251,2490.1943241176928,No,Fiber optic,21,No,Bank transfer,No,118.58062563387793,2490.1931383114365
839,50.0,Female,Two year,34.04973148608016,1055.541676068485,No,Fiber optic,31,No,Electronic check,No,34.04972050229935,1055.54133557128
3907,41.0,Male,One year,35.91647380886539,2190.904902340789,Yes,Fiber optic,61,Yes,Bank transfer,No,35.91646792091983,2190.9045431761097
3774,45.0,Female,One year,65.09443221762271,911.3220510467179,No,Fiber optic,14,No,Mailed check,No,65.0943857216329,911.3214001028607
4636,24.0,Male,Month-to-month,75.22677524502677,1730.2158306356157,Yes,No,23,No,Electronic check,No,75.22674253774741,1730.2150783681905
3162,37.0,Male,Month-to-month,83.81550654868308,6034.716471505181,No,DSL,72,Yes,Credit card,No,83.8154949076421,6034.715633350232
2660,56.0,Female,Month-to-month,117.69314167973153,5884.657083986576,No,DSL,50,Yes,Bank transfer,No,117.69311814110789,5884.655907055394
4616,56.0,Male,One year,110.20025994699014,2534.6059787807735,Yes,No,23,Yes,Electronic check,No,110.20021203385448,2534.6048767786533
4629,71.0,Female,Two year,47.487142809215314,2849.2285685529187,Yes,DSL,60,No,Electronic check,Yes,47.48713489469283,2849.2280936815696
2452,77.0,Female,One year,104.19584544183485,4376.225508557063,No,Fiber optic,42,No,Electronic check,No,104.19582063330611,4376.224466598856
2847,21.0,Male,Month-to-month,25.246049291199405,1211.8103659775716,Yes,Fiber optic,48,No,Electronic check,No,25.2460440316069,1211.8101135171312
1145,46.0,Male,One year,63.62756556395665,3626.771237145529,No,DSL,57,Yes,Electronic check,No,63.627554401227805,3626.7706008699847
3079,36.0,Male,Two year,28.54886373515714,1827.127279050057,Yes,DSL,64,No,Electronic check,No,28.548859274397877,1827.1269935614641
1104,50.0,Female,Two year,23.1094621943056,415.9703194975008,No,DSL,18,Yes,Mailed check,Yes,23.109449355722624,415.97008840300725
